ts,num
916721318,89
917997376,23
919273434,135
920549492,51
921825550,56
923101608,31
924377666,63
925653724,15
926929782,136
928205840,176
929481898,266
930757956,233
932034014,311
933310072,427
934586130,282
935862188,205
937138246,273
938414304,544
939690362,666
940966420,422
942242478,734
943518536,623
944794594,579
946070652,1189
947346710,952
948622768,1207
949898826,2183
951174884,2265
952450942,2164
953727000,1900
955003058,2293
956279116,2458
957555174,2247
958831232,3019
960107290,2352
961383348,3469
962659406,4088
963935464,2894
965211522,3730
966487580,3548
967763638,4812
969039696,4277
970315754,5046
971591812,5105
972867870,5942
974143928,7668
975419986,6428
976696044,9357
977972102,5006
979248160,4068
980524218,4587
981800276,4965
983076334,5154
984352392,5930
985628450,6129
986904508,6752
988180566,7998
989456624,9826
990732682,9987
992008740,9602
993284798,6586
994560856,4431
995836914,5455
997112972,5697
998389030,5309
999665088,5512
1000941146,7392
1002217204,9945
